date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:12	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:36:03%20GMT	https://ninja-checker.herokuapp.com/images/logo.png?5294b12fea91754d39d8c1ccd5716627	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/images/logo.241f44.delayed	(from https://ninja-checker.herokuapp.com/CCGen.php)
16:07:17	2120/2120	U--MC-	200	updated ('OK')	text/html	date:Tue,%2012%20Oct%202021%2010:36:03%20GMT	https://ninja-checker.herokuapp.com/Register.php	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/Register.html	(from https://ninja-checker.herokuapp.com/)
16:07:17	2501/2501	U-----	200	untouched ('OK')	text/css	etag:%229c5-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/fontastic.css	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/fontastic.css	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:17	31450/31450	U-----	200	untouched ('OK')	text/css	etag:%227ada-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/font-awesome.min.css	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/font-awesome.min.css	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:17	3462/3462	U-----	200	untouched ('OK')	text/html	etag:%22d86-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/css	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/css.html	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:17	88197/88197	U-----	200	untouched ('OK')	text/css	etag:%2215885-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/style.default.premium.css	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/style.default.premium.css	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:18	83/83	U-----	200	untouched ('OK')	text/css	etag:%2253-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/custom.css	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/custom.css	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:18	444678/444678	U-----	200	untouched ('')	image/jpeg	etag:%226c906-5b00f8857b280%22	https://ninja-checker.herokuapp.com/image/17580.jpg	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/image/17580.jpg	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:18	20337/20337	U-----	200	untouched ('')	application/javascript	etag:%224f71-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/popper.min.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/popper.min.js	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:18	50731/50731	U-----	200	untouched ('')	application/javascript	etag:%22c62b-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/bootstrap.min.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/bootstrap.min.js	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:18	51039/51039	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-c75f%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.min.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.min.js	(from https://ninja-checker.herokuapp.com/skcheck.php)
16:07:19	3121/3121	U-----	200	untouched ('')	application/javascript	etag:%22c31-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/jquery.cookie.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/jquery.cookie.js	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:19	63639/63639	UR-M-Z	200	updated ('Partial%20Content')	application/javascript	etag:%225eb03f1f-3348d%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.11/js/mdb.min.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.11/js/mdb.min.js	(from https://ninja-checker.herokuapp.com/skcheck.php)
16:07:19	34959/34959	U-----	200	untouched ('')	application/javascript	etag:%22888f-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/jquery.validate.min.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/jquery.validate.min.js	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:19	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:36:10%20GMT	https://ninja-checker.herokuapp.com/about.php	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/about.php	(from https://ninja-checker.herokuapp.com/About.php)
16:07:19	159638/159638	U-----	200	untouched ('')	application/javascript	etag:%2226f96-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/Chart.min.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/Chart.min.js	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:36	1281/1281	U-----	200	untouched ('')	application/javascript	etag:%22501-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/messenger-theme-flat.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/messenger-theme-flat.js	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:36	3220/3220	U-----	200	untouched ('')	application/javascript	etag:%22c94-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/charts-home.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/charts-home.js	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:36	378/378	U-----	200	untouched ('')	application/javascript	etag:%2217a-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/home-premium.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/home-premium.js	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:36	3146/3146	U-----	200	untouched ('')	application/javascript	etag:%22c4a-5b00f8857b280%22	https://ninja-checker.herokuapp.com/arquivos/front.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/arquivos/front.js	(from https://ninja-checker.herokuapp.com/checker.php)
16:07:36	3444/3444	U-----	200	untouched ('')	application/javascript	etag:W/%22d74-5ce23d8255ed2%22	http://resources.infolinks.com/js/infolinks_main.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/resources.infolinks.com/js/infolinks_main.js	(from https://ninja-checker.herokuapp.com/CCGen.php)
16:07:55	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:36:28%20GMT	https://ninja-checker.herokuapp.com/edge/	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/edge/index.html	(from https://ninja-checker.herokuapp.com/CCGen.php)
16:08:12	49932/49932	U-----	200	untouched ('')	text/javascript	date:Tue,%2028%20Sep%202021%2021:34:48%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/www.google-analytics.com/analytics.js	(from https://ninja-checker.herokuapp.com/CCGen.php)
16:09:24	121200/121200	U-----	200	untouched ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/Test/Webpages/CC%20Tools%20HTML/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://ninja-checker.herokuapp.com/LoginSuccess.php)
16:09:26	37968/37968	U-----	200	untouched ('OK')	text/css	etag:W/%2290a8e5ce9b1e1c780db800c11c9fbe10%22	https://static.comingsoonpage.com/cspio-assets/1.0.0/style.css	C:/Users/Test/Webpages/CC%20Tools%20HTML/static.comingsoonpage.com/cspio-assets/1.0.0/style.css	(from https://ninja-checker.herokuapp.com/LoginSuccess.php)
16:09:26	120619/120619	U-----	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.3.2/jquery.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ajax.googleapis.com/ajax/libs/jquery/1.3.2/jquery.js	(from https://ninja-checker.herokuapp.com/skcheck.php)
16:09:43	18994/18994	U-----	200	untouched ('')	application/javascript	etag:%224a32-5b00f8857b280%22	https://ninja-checker.herokuapp.com/assets/js/core/popper.min.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/assets/js/core/popper.min.js	(from https://ninja-checker.herokuapp.com/skcheck.php)
16:10:01	58031/58031	U-----	200	untouched ('')	application/javascript	etag:%22e2af-5b00f8857b280%22	https://ninja-checker.herokuapp.com/assets/js/core/bootstrap.min.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/assets/js/core/bootstrap.min.js	(from https://ninja-checker.herokuapp.com/skcheck.php)
16:10:01	15612/15612	U-----	200	untouched ('')	application/javascript	etag:%223cfc-5b00f8857b280%22	https://ninja-checker.herokuapp.com/assets/js/plugins/bootstrap-notify.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/assets/js/plugins/bootstrap-notify.js	(from https://ninja-checker.herokuapp.com/skcheck.php)
16:10:01	4540/4540	U-----	200	untouched ('')	application/javascript	etag:%2211bc-5b00f8857b280%22	https://ninja-checker.herokuapp.com/assets/js/black-dashboard.min.js?v=1.0.0	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/assets/js/black-dashboard.mine209.js	(from https://ninja-checker.herokuapp.com/skcheck.php)
16:10:06	29292/29292	U-----	200	untouched ('')	application/javascript	etag:W/%2248ead32171e554edb2744890102504b0%22	https://cdn.trackjs.com/agent/v3/latest/t.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/cdn.trackjs.com/agent/v3/latest/t.js	(from https://ninja-checker.herokuapp.com/skcheck.php)
16:10:08	1778/1778	U--MC-	200	updated ('OK')	text/html	date:Tue,%2012%20Oct%202021%2010:38:58%20GMT	https://ninja-checker.herokuapp.com/login.php	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/login.html	(from https://ninja-checker.herokuapp.com/Register.php)
16:10:08	19027/19027	U-----	200	untouched ('')	application/javascript	etag:%224a53-5b00f8857b280%22	https://ninja-checker.herokuapp.com/assets/demo/demo.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/assets/demo/demo.js	(from https://ninja-checker.herokuapp.com/skcheck.php)
16:10:08	20536/20536	U-----	200	untouched ('')	application/javascript	etag:%225eb03fa9-5038%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.4/umd/popper.min.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.4/umd/popper.min.js	(from https://ninja-checker.herokuapp.com/skcheck.php)
16:10:08	86927/86927	U-----	200	untouched ('')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/Test/Webpages/CC%20Tools%20HTML/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://ninja-checker.herokuapp.com/skcheck.php)
16:10:09	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:39:00%20GMT	https://ninja-checker.herokuapp.com/img/multiselect-switch.png	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/img/multiselect-switch.png	(from https://ninja-checker.herokuapp.com/arquivos/style.default.premium.css)
16:10:09	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Oct%202021%2010:39:00%20GMT	https://ninja-checker.herokuapp.com/img/bg.jpg	C:/Users/Test/Webpages/CC%20Tools%20HTML/ninja-checker.herokuapp.com/img/bg.jpg	(from https://ninja-checker.herokuapp.com/arquivos/style.default.premium.css)
16:10:09	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Tue,%2012%20Oct%202021%2010:39:00%20GMT	https://static.comingsoonpage.com/cspio-assets/1.0.0/bigvideo.png	C:/Users/Test/Webpages/CC%20Tools%20HTML/static.comingsoonpage.com/cspio-assets/1.0.0/bigvideo.3b.delayed	(from https://static.comingsoonpage.com/cspio-assets/1.0.0/style.css)
